Titulo,Autores,Resumen,Fecha,Etiquetas,URL
Militares en apoyo a control público: la respuesta de los alcaldes de la RM a la solicitud de Vodanovic,Camilo Calderara,El alcalde de Maipú reabrió el debate sobre la necesidad de que las Fuerzas Armadas colaboren en zonas urbanas con el control de orden público. La idea ha tenido respaldo en la mayoría de jefes comunales.,14 de Marzo de 2024 - 17:00 hrs.,"['militares en las calles', 'región metropolitana', 'fuerzas armadas', 'alcaldes', 'tomás vodanovic']",https://www.t13.cl/noticia/politica/militares-apoyo-control-publico-respuesta-alcaldes-rm-solicitud-vodanovic-14-3-2024
Agreden a alcalde Carter y a su equipo en toma de La Florida: Hay 4 funcionarios municipales heridos,Carolina Mardones,"""Notificamos a un sector de la toma por el peligro que tienen ante un incendio o un aluvión (...) Tienen que desalojar dentro de 30 días"", señaló el alcalde Carter a Tu Día.",14 de Marzo de 2024 - 10:49 hrs.,"['toma dignidad', 'la florida', 'rodolfo carter', 'región metropolitana']",https://www.t13.cl/noticia/nacional/agreden-alcalde-carter-su-equipo-toma-florida-hay-4-funcionarios-municipales-he-14-3-2024
Así fue la demolición de inmueble que funcionaba como night club en toma de Maipú,T13,"Se trata de la toma donde fue encontrado el cuerpo del ex militar venezolano, Ronald Ojeda. En el lugar se denunció el funcionamiento de varios locales clandestinos.",14 de Marzo de 2024 - 09:43 hrs.,"['Toma en Maipú', 'locales clandestinos', 'maipú', 'región metropolitana']",https://www.t13.cl/noticia/nacional/demolicion-inmueble-funcionaba-como-night-club-toma-maipu-14-3-2024
Nuevo operativo en toma de Maipú: Esta vez en una casa que habría funcionado como prostíbulo,Carolina Mardones,"Se trata de una toma donde viven más de 600 familias y fue el lugar donde se encontró el cuerpo, enterrado, del ex militar venezolano Ronald Ojeda.",14 de Marzo de 2024 - 09:20 hrs.,"['Toma en Maipú', 'maipú', 'Ronald Ojeda', 'carabineros', 'región metropolitana']",https://www.t13.cl/noticia/nacional/casa-prostibulo-maipu-14-3-2024
Detienen a hombre acusado del homicidio de carabinero ocurrido en 2018 en La Pintana,T13,"Se trata de la muerte del carabinero Óscar Galindo, quien falleció a los 29 años tras recibir un impacto de bala durante un procedimiento en La Pintana.",13 de Marzo de 2024 - 14:27 hrs.,"['óscar galindo', 'carabineros', 'la pintana', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/detienen-hombre-acusado-del-homicidio-carabinero-ocurrido-2018-13-3-2024
"Alcantarillados, puentes y un Night Club: Así es la toma de Maipú por dentro",T13,"Se trata de la misma toma donde se encontró el cuerpo del ex militar venezolano Ronald Ojeda, el cual estaba enterrado en una maleta.",13 de Marzo de 2024 - 12:41 hrs.,"['Toma en Maipú', 'Ronald Ojeda', 'maipú', 'región metropolitana']",https://www.t13.cl/noticia/nacional/alcantarillados-puentes-night-club-asi-toma-maipu-por-dentro-13-3-2024
"""Il Nene de Oro"": Detienen a cantante urbano tras operativo de la PDI por tráfico de drogas y armas",T13,"Se trata del cantante ""Il Nene de Oro"", quien tiene canciones junto a diversas figuras del género urbano como Pablo Chill-E y Marcianeke.",13 de Marzo de 2024 - 12:00 hrs.,"['Il nene de Oro', 'pdi', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/detienen-cantante-urbano-tras-operativo-pdi-por-trafico-drogas-armas-13-3-2024
Manipuladoras de alimento protestan por no pago de finiquitos en Peñalolén: Encendieron barricadas,T13,Las manifestantes piden los pagos de sus finiquitos tras el término de las licitaciones de empresas con Junaeb.,13 de Marzo de 2024 - 07:13 hrs.,"['Manipuladoras de alimento', 'manifestación', 'protesta', 'peñalolén', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/manipuladoras-alimento-protestan-por-no-pago-finiquitos-penalolen-encendieron-b-13-3-2024
“Se ha convertido en un nido de delincuencia”: Vecinos de los puntos críticos de Maipú hacen alarmante llamado,T13,"""Alguien tiene que hacer algo por la delincuencia"", es parte del pedido que realizan los vecinos de la comuna.",13 de Marzo de 2024 - 00:35 hrs.,"['maipú', 'región metropolitana', 'puntos críticos', 'tomás vodanovic']",https://www.t13.cl/noticia/nacional/se-ha-convertido-nido-delincuencia-vecinos-puntos-criticos-maipu-hacen-alarmante-llamado
Fiscalía se refiere a supuesto caso de asesinato y canibalismo denunciado por Aldo Duque,Carolina Mardones,El abogado Aldo Duque contó que recibió una denuncia sobre el homicidio y posterior descuartizamiento de su pareja ocurrido en noviembre del año pasado. Además señaló que los sujetos asaron restos de las víctimas.,12 de Marzo de 2024 - 10:10 hrs.,"['pudahuel', 'denuncia', 'homicidio', 'canibalismo', 'región metropolitana', 'santiago', 'aldo duque']",https://www.t13.cl/noticia/nacional/fiscalia-asesinato-canibalismo-denunciado-por-aldo-duque-12-3-2024
Matan a tiros a hombre en La Granja: Vecino salió a mirar y fue herido por disparo,AtonT13,"Uno de los vecinos del lugar recibió un impacto de bala, por lo que fue trasladado por vecinos hasta el Hospital Barros Luco.",12 de Marzo de 2024 - 08:28 hrs.,"['la granja', 'balacera', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/matan-tiros-hombre-granja-vecino-salio-mirar-fue-herido-por-disparo-12-3-2024
La más grande de la RM: Cómo es la toma de Cerrillos donde murió una mujer en balacera,T13,"En poco más de cuatro años la toma ubicada en Cerrillos creció exponencialmente, convirtiéndose en la más grande de la capital.",11 de Marzo de 2024 - 16:50 hrs.,"['nuevo amanecer', 'cerrillos', 'toma', 'región metropolitana']",https://www.t13.cl/noticia/nacional/la-mas-grande-rm-e-investigan-cementerio-ilegal-como-toma-cerrillos-donde-murio-mujer
Condenan a 20 años de cárcel a hombre que secuestró y violó a conviviente,T13,Al detenido además se le sumó una condena de 61 años de cárcel por el delito de porte de arma cortante en la vía pública.,8 de Marzo de 2024 - 10:48 hrs.,"['cárcel', 'condena', 'estación central', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/condenan-20-anos-carcel-hombre-secuestro-violo-conviviente-8-3-2024
Detenido sería padre de la víctima: Lo que se sabe del robo que provocó aborto espontáneo a joven en La Florida,T13,Todo ocurrió la mañana del miércoles cuando la conductora fue intimidada por dos personas que le robaron las llaves de su auto.,8 de Marzo de 2024 - 08:57 hrs.,"['aborto', 'la florida', 'robo', 'santiago', 'región metropolitana']",https://www.t13.cl/noticia/nacional/detenido-seria-padre-victima-lo-se-sabe-del-robo-provoco-aborto-espontaneo-jove-8-3-2024
Detienen a hombre por robo a mujer que sufrió aborto en La Florida: Sería padre de la víctima,T13,"Según información preliminar, el detenido es un hombre con antecedentes por otros delitos y sería padre de la joven que sufrió la pérdida de su embarazo de 7 semanas.",8 de Marzo de 2024 - 06:59 hrs.,"['la florida', 'aborto espontáneo', 'región metropolitana']",https://www.t13.cl/noticia/nacional/detienen-hombre-aborto-espontaneo-robo-auto-florida-8-3-2024
